,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,12,5,7,.417,-3.38,0.62,,0,2,,2,3,,1,3,,909,902,,73.8,100.8,.450,.336,.550,53.1,45.9,9.3,7.8,.509,19.3,30.6,.319
2,Air Force,12,7,5,.583,-4.33,-8.50,,,,,4,3,,3,1,,830,780,,65.9,97.6,.322,.374,.518,51.2,50.2,8.5,9.7,.482,17.9,28.0,.231
3,Akron,11,8,3,.727,3.30,0.52,,,,,5,0,,2,1,,861,735,,68.4,96.6,.242,.354,.522,45.0,52.0,11.4,6.4,.505,17.5,24.9,.153
4,Alabama,12,7,5,.583,24.56,9.89,,,,,6,1,,0,1,,1106,930,,73.9,104.8,.382,.358,.535,46.2,43.5,9.4,11.3,.496,14.6,28.9,.273
5,Alabama A&M,12,1,11,.083,-18.59,-0.51,,,,,1,2,,0,8,,837,1054,,74.2,117.1,.492,.428,.606,54.1,61.7,12.1,8.0,.565,17.0,35.9,.365
6,Alabama State,11,4,7,.364,-7.88,6.23,,,,,2,1,,0,6,,794,837,,72.7,103.6,.414,.471,.538,50.4,59.5,8.9,9.0,.497,16.4,29.1,.294
7,Albany (NY),13,7,6,.538,-6.31,-5.06,,,,,5,0,,2,5,,998,974,,74.8,100.2,.336,.280,.512,49.1,45.5,9.4,10.8,.473,14.7,30.1,.240
8,Alcorn State,13,1,12,.077,-14.84,7.08,,,,,1,0,,0,12,,888,1143,,71.4,123.2,.413,.520,.624,53.4,69.0,9.3,11.2,.596,14.4,32.6,.300
9,American,12,5,7,.417,-9.21,-4.58,,,,,4,1,,1,6,,871,893,,65.1,113.2,.327,.430,.585,47.9,50.6,7.4,8.6,.564,14.2,27.1,.226
10,Appalachian State,12,9,3,.750,5.32,-1.99,,,,,5,0,,1,2,,955,768,,70.3,90.0,.266,.388,.453,46.5,44.0,7.4,5.5,.420,14.1,25.8,.179
11,Arizona,11,9,2,.818,32.41,10.13,,,,,6,0,,1,0,,1018,773,,76.0,90.4,.243,.394,.499,40.4,50.9,9.8,5.7,.473,17.8,20.6,.165
12,Arizona State,11,6,5,.545,3.81,6.44,,,,,5,0,,0,1,,736,765,,71.5,97.2,.227,.395,.496,54.7,55.4,9.0,5.8,.472,16.9,31.3,.155
13,Arkansas,12,8,4,.667,9.23,4.15,,,,,7,1,,0,0,,964,903,,72.5,101.7,.362,.354,.513,48.0,48.6,9.2,4.0,.475,13.6,27.0,.252
14,Arkansas State,12,4,8,.333,-3.32,0.35,,,,,2,1,,1,6,,891,935,,71.9,108.3,.438,.277,.543,49.1,44.7,12.2,14.7,.494,12.9,29.6,.324
15,Arkansas-Pine Bluff,13,5,8,.385,-17.25,4.19,,,,,4,1,,1,7,,1130,1161,,77.4,115.3,.343,.406,.592,53.2,62.7,9.1,12.5,.564,15.4,32.1,.249
16,Army,12,3,9,.250,-13.45,-7.36,,,,,2,4,,1,5,,742,774,,65.8,97.1,.339,.396,.528,48.2,52.6,10.9,11.0,.494,16.7,22.2,.239
17,Auburn,11,9,2,.818,18.07,1.61,,,,,5,0,,0,1,,914,733,,71.6,93.0,.397,.330,.493,45.5,42.4,9.4,6.7,.436,17.2,26.8,.301
18,Austin Peay,14,7,7,.500,-6.65,-1.20,,,,,5,1,,1,5,,939,900,,65.3,98.4,.358,.426,.514,50.5,57.0,6.9,6.0,.477,17.3,28.9,.247
19,Ball State,12,8,4,.667,-5.50,-4.10,,,,,7,0,,1,3,,900,812,,68.1,99.4,.267,.346,.532,46.4,49.8,8.7,7.5,.508,16.6,24.6,.183
20,Baylor,12,10,2,.833,20.59,1.23,,,,,7,0,,0,0,,1061,822,,70.0,97.9,.291,.321,.518,43.9,50.2,9.8,10.3,.482,17.0,29.2,.215
21,Bellarmine,14,4,10,.286,-8.43,5.76,,,,,3,2,,1,8,,942,1004,,68.3,105.0,.238,.419,.540,52.5,52.7,7.9,10.3,.517,15.3,28.7,.169
22,Belmont,13,9,4,.692,-0.48,0.27,,2,0,,5,0,,3,3,,1054,1029,,73.6,106.4,.243,.391,.539,51.7,52.8,9.9,8.1,.519,14.7,30.7,.166
23,Bethune-Cookman,11,5,6,.455,-13.56,-6.67,,,,,4,0,,1,4,,826,780,,75.1,94.4,.464,.390,.528,50.4,52.0,11.0,5.9,.480,22.9,33.0,.329
24,Binghamton,12,7,5,.583,-8.89,-4.62,,,,,5,0,,2,5,,877,870,,70.0,103.6,.306,.379,.516,47.6,47.2,9.8,11.6,.485,12.5,27.0,.212
25,Boise State,12,8,4,.667,11.10,7.30,,,,,6,0,,0,1,,901,790,,68.6,95.9,.283,.334,.519,45.7,45.9,8.0,9.7,.487,16.5,22.4,.204
26,Boston College,12,9,3,.750,8.98,0.40,,0,1,,6,1,,2,0,,953,850,,70.0,100.2,.262,.374,.524,48.1,49.5,7.7,8.2,.488,16.1,26.2,.202
27,Boston University,12,4,8,.333,-9.89,-4.70,,,,,2,2,,2,6,,783,799,,67.9,98.0,.364,.425,.530,48.2,51.3,10.1,7.8,.495,15.7,19.8,.255
28,Bowling Green State,12,9,3,.750,-1.53,-5.33,,,,,6,1,,1,1,,888,781,,71.5,91.0,.229,.330,.480,47.8,43.1,9.4,10.2,.458,16.3,24.7,.149
29,Bradley,12,7,5,.583,3.65,2.06,,0,2,,4,2,,1,2,,865,846,,67.7,102.1,.362,.359,.505,51.4,44.3,11.9,6.8,.464,14.8,33.4,.256
30,Brigham Young,12,11,1,.917,28.29,-0.80,,,,,8,0,,0,1,,1081,732,,71.0,85.9,.229,.343,.470,40.9,48.4,8.1,5.1,.445,16.9,19.4,.151
31,Brown,13,4,9,.308,-8.48,-3.23,,,,,2,2,,1,5,,907,929,,70.1,100.0,.336,.365,.532,48.3,51.2,9.6,11.6,.505,16.9,25.6,.223
32,Bryant,14,8,6,.571,-3.73,-0.82,,,,,4,1,,3,5,,1115,1055,,76.1,97.2,.343,.350,.477,54.6,50.3,9.4,9.1,.438,14.1,32.3,.233
33,Bucknell,12,3,9,.250,-8.59,1.41,,,,,1,3,,2,6,,747,867,,65.0,111.2,.277,.452,.571,52.8,61.5,11.2,11.2,.548,14.4,29.7,.197
34,Buffalo,11,1,10,.091,-12.65,2.65,,,,,1,4,,0,4,,744,891,,72.0,112.5,.299,.381,.574,48.6,56.0,12.8,10.2,.557,13.4,28.0,.196
35,Butler,13,10,3,.769,14.44,3.19,,1,1,,8,0,,0,2,,1081,920,,70.0,97.5,.209,.391,.496,48.2,49.0,9.7,10.5,.475,15.1,29.4,.141
36,Cal Poly,12,4,8,.333,-11.54,-2.35,,,,,3,1,,0,6,,781,864,,65.8,106.0,.422,.351,.538,53.5,46.4,8.6,8.8,.498,15.4,32.6,.296
37,Cal State Bakersfield,11,5,6,.455,-9.13,-2.02,,,,,4,0,,0,5,,785,768,,67.1,104.1,.377,.400,.541,48.9,51.0,6.1,5.0,.504,17.1,33.3,.267
38,Cal State Fullerton,12,7,5,.583,-7.62,-0.32,,,,,4,0,,2,4,,815,808,,67.9,99.1,.294,.402,.516,50.4,54.1,10.2,8.9,.488,16.7,29.8,.201
39,Cal State Northridge,12,9,3,.750,-2.81,-8.61,,,,,5,1,,4,2,,962,835,,75.7,91.9,.357,.463,.496,41.7,58.8,10.8,7.3,.457,16.9,22.0,.246
40,California,11,4,7,.364,1.12,1.03,,,,,4,2,,0,1,,836,835,,68.0,107.9,.344,.379,.551,46.5,43.9,9.2,8.4,.510,13.3,27.0,.261
41,California Baptist,11,7,4,.636,-0.69,-3.25,,1,1,,5,3,,2,1,,774,724,,67.8,97.2,.261,.288,.512,45.6,43.2,7.9,8.4,.481,15.0,22.0,.189
42,Campbell,12,6,6,.500,-9.29,-3.96,,,,,6,2,,0,4,,814,753,,65.0,95.6,.261,.402,.493,50.2,52.0,10.4,7.9,.459,17.2,30.4,.191
43,Canisius,12,6,6,.500,1.22,1.22,,1,1,,3,1,,1,4,,924,884,,71.5,103.0,.336,.315,.512,49.0,44.5,9.4,11.0,.482,14.2,32.0,.224
44,Central Arkansas,13,3,10,.231,-16.43,-5.85,,,,,2,4,,1,6,,899,983,,70.0,108.0,.371,.406,.548,52.4,50.6,11.1,7.3,.519,15.5,33.7,.250
45,Central Connecticut State,12,5,7,.417,-7.76,-4.49,,,,,2,2,,3,5,,856,835,,69.6,100.0,.308,.350,.529,51.5,57.1,10.4,6.9,.504,17.0,28.9,.203
46,Central Florida,11,8,3,.727,9.43,-2.29,,,,,6,2,,0,1,,845,716,,71.4,90.1,.401,.377,.502,46.0,53.4,10.7,8.5,.453,20.1,24.5,.289
47,Central Michigan,11,5,6,.455,-10.90,0.50,,,,,3,1,,1,4,,750,840,,69.3,110.1,.299,.409,.569,51.9,57.7,9.7,7.9,.534,16.3,32.6,.232
48,Charleston Southern,12,4,8,.333,-15.26,-1.71,,,,,4,2,,0,6,,861,883,,68.3,107.7,.336,.291,.531,51.1,41.2,9.8,4.9,.495,12.4,30.1,.241
49,Charlotte,11,6,5,.545,6.06,4.16,,,,,5,1,,0,2,,749,683,,63.3,97.0,.289,.368,.507,49.5,47.5,8.2,7.5,.470,15.9,25.7,.213
50,Chattanooga,12,8,4,.667,-4.87,-7.57,,,,,6,1,,2,3,,959,826,,69.3,97.3,.268,.412,.493,46.0,46.4,8.2,9.5,.471,14.3,26.2,.170
51,Chicago State,17,7,10,.412,-9.54,-4.01,,,,,3,5,,3,4,,1104,1198,,67.6,103.5,.357,.367,.554,52.1,50.6,10.7,8.4,.522,19.4,33.5,.253
52,Cincinnati,12,10,2,.833,14.97,-1.12,,,,,9,0,,1,1,,991,798,,70.1,94.0,.280,.362,.502,41.1,49.6,7.8,9.9,.462,14.9,19.9,.214
53,Clemson,11,10,1,.909,17.07,5.98,,1,0,,5,0,,2,1,,894,772,,69.7,100.7,.347,.414,.500,47.0,46.2,9.3,5.9,.460,11.9,25.6,.246
54,Cleveland State,13,8,5,.615,-0.38,-2.13,,1,1,,7,0,,1,5,,990,908,,69.6,100.3,.373,.373,.525,50.7,52.1,9.3,7.7,.503,19.2,37.1,.229
55,Coastal Carolina,11,3,8,.273,-8.15,-2.26,,,,,3,7,,0,1,,887,874,,72.5,108.4,.294,.501,.517,46.7,55.8,10.4,7.6,.489,12.2,33.1,.199
56,Colgate,12,6,6,.500,0.38,4.02,,,,,3,1,,1,4,,836,798,,67.8,98.2,.251,.415,.509,49.1,55.0,8.2,8.2,.482,15.2,25.1,.174
57,College of Charleston,12,8,4,.667,4.14,2.89,,,,,5,0,,2,1,,925,910,,72.4,104.7,.301,.367,.542,49.2,42.6,9.9,12.0,.510,15.6,28.1,.218
58,Colorado,11,9,2,.818,17.40,0.21,,,,,7,0,,0,1,,948,759,,71.1,96.0,.324,.365,.517,41.3,38.2,12.0,6.9,.478,16.9,23.2,.237
59,Colorado State,12,11,1,.917,19.05,6.60,,,,,6,1,,2,0,,995,826,,69.4,99.3,.276,.373,.528,49.7,43.5,7.0,7.5,.496,17.0,26.5,.204
60,Columbia,11,8,3,.727,-4.05,-7.38,,,,,6,1,,2,2,,865,740,,71.0,94.8,.245,.444,.499,47.7,54.6,9.0,10.4,.469,17.7,28.5,.176
61,Connecticut,13,11,2,.846,18.63,-0.14,,1,1,,7,0,,0,2,,1079,835,,67.4,95.3,.333,.307,.492,42.4,47.3,8.8,8.6,.458,15.0,25.7,.224
62,Coppin State,13,1,12,.077,-21.33,-2.63,,,,,1,2,,0,9,,708,951,,68.1,107.5,.332,.417,.559,57.6,62.3,13.3,8.7,.524,18.7,38.7,.248
63,Cornell,11,9,2,.818,0.95,-5.25,,,,,2,0,,5,2,,939,856,,75.6,102.9,.318,.429,.535,48.2,50.5,11.5,9.4,.517,16.5,29.4,.197
64,Creighton,12,9,3,.750,21.69,5.36,,0,1,,6,1,,2,1,,996,800,,67.9,97.2,.131,.261,.474,43.6,36.4,9.6,8.2,.456,9.4,22.9,.096
65,Dartmouth,12,4,8,.333,-14.03,-2.73,,,,,4,2,,0,6,,747,813,,67.7,100.1,.216,.376,.518,50.1,46.8,11.1,10.1,.496,14.5,23.8,.149
66,Davidson,12,9,3,.750,4.01,0.61,,,,,7,0,,1,2,,875,783,,64.9,100.5,.224,.440,.522,48.7,55.0,8.1,8.2,.500,15.3,26.5,.155
67,Dayton,11,9,2,.818,14.42,5.61,,,,,5,0,,1,1,,815,718,,63.3,103.2,.214,.349,.499,49.8,49.6,9.8,10.7,.472,13.7,33.2,.155
68,Delaware,12,8,4,.667,0.45,-3.65,,,,,2,1,,4,1,,922,844,,69.1,100.7,.300,.359,.520,49.6,44.4,8.6,11.4,.490,15.2,28.3,.208
69,Delaware State,15,6,9,.400,-12.75,-3.82,,,,,2,2,,2,6,,1085,1121,,72.1,100.4,.355,.410,.562,46.2,55.8,10.1,5.7,.532,18.9,24.8,.251
70,Denver,13,8,5,.615,-0.29,0.26,,,,,5,0,,2,4,,1085,995,,71.8,106.5,.256,.346,.523,48.6,47.2,7.1,12.2,.496,12.5,30.5,.180
71,DePaul,11,2,9,.182,-2.91,7.45,,0,1,,2,6,,0,1,,733,847,,69.8,110.3,.306,.347,.553,54.0,53.1,10.8,8.8,.525,14.2,32.2,.217
72,Detroit Mercy,13,0,13,.000,-15.19,1.28,,0,2,,0,3,,0,10,,798,1012,,67.6,115.1,.311,.367,.586,54.2,59.8,9.7,8.5,.557,14.6,33.0,.233
73,Drake,13,11,2,.846,8.75,-2.33,,2,0,,7,0,,1,1,,1023,870,,68.5,96.8,.299,.373,.525,48.5,39.4,7.8,7.3,.501,18.2,25.8,.197
74,Drexel,13,7,6,.538,0.37,-1.47,,,,,4,1,,2,5,,917,827,,66.5,94.7,.252,.339,.484,42.8,50.0,9.4,6.8,.453,13.4,23.5,.178
75,Duke,11,8,3,.727,20.41,5.60,,0,1,,6,1,,0,2,,894,731,,68.6,96.9,.274,.379,.522,46.7,55.1,6.0,13.3,.494,16.6,23.5,.192
76,Duquesne,11,8,3,.727,7.90,1.72,,,,,5,1,,1,1,,838,770,,68.6,102.1,.335,.362,.521,49.1,48.1,8.0,10.9,.485,16.4,31.4,.237
77,East Carolina,12,7,5,.583,0.00,-3.63,,,,,7,3,,0,1,,894,824,,67.1,102.4,.335,.427,.532,47.9,51.2,8.4,8.9,.501,16.9,30.7,.232
78,East Tennessee State,12,7,5,.583,-5.41,-1.81,,,,,5,0,,1,5,,853,810,,70.5,95.7,.384,.350,.504,49.4,45.8,8.9,10.3,.462,17.5,29.1,.268
79,Eastern Illinois,13,6,7,.462,-10.89,-0.23,,,,,5,1,,0,6,,921,842,,68.8,94.1,.319,.395,.525,45.9,60.3,10.1,8.7,.489,19.2,22.6,.231
80,Eastern Kentucky,12,4,8,.333,-12.07,-0.84,,,,,4,3,,0,5,,1016,958,,76.5,103.2,.279,.387,.535,46.3,52.3,10.9,5.0,.511,16.1,29.8,.190
81,Eastern Michigan,11,6,5,.545,-10.57,-1.77,,,,,4,1,,2,3,,740,813,,66.8,110.6,.299,.403,.545,51.9,50.7,10.3,6.7,.519,12.9,30.1,.207
82,Eastern Washington,11,4,7,.364,-5.14,7.53,,,,,2,0,,2,7,,824,818,,72.1,103.2,.353,.348,.532,50.8,52.4,9.6,10.2,.496,15.5,28.5,.251
83,Elon,12,6,6,.500,-10.59,-4.59,,,,,4,0,,0,6,,965,920,,70.6,108.5,.284,.384,.545,48.3,46.7,8.6,8.3,.517,14.0,31.2,.203
84,Evansville,12,10,2,.833,2.61,-4.11,,1,1,,6,0,,3,2,,990,846,,72.7,95.1,.257,.431,.509,47.1,49.0,7.3,7.2,.484,16.6,22.9,.176
85,Fairfield,12,6,6,.500,-6.60,-5.33,,1,1,,2,2,,4,3,,884,851,,70.3,100.9,.267,.342,.517,51.5,49.2,10.0,8.7,.490,16.7,32.4,.185
86,Fairleigh Dickinson,13,6,7,.462,-16.30,-7.66,,,,,3,2,,3,4,,1060,1053,,76.0,106.7,.326,.405,.551,51.6,56.8,9.4,8.0,.518,16.0,30.6,.237
87,Florida,12,9,3,.750,15.50,3.91,,,,,5,0,,0,1,,1025,886,,73.1,99.0,.318,.325,.505,42.6,45.0,12.0,7.4,.474,14.0,26.9,.214
88,Florida A&M,10,2,8,.200,-11.88,12.37,,,,,1,2,,1,5,,654,825,,71.0,113.3,.471,.402,.571,53.0,53.3,12.2,9.4,.544,14.4,31.7,.310
89,Florida Atlantic,12,10,2,.833,22.69,8.52,,,,,4,1,,0,0,,1014,844,,70.0,98.4,.270,.367,.510,47.2,40.2,8.0,6.0,.478,16.5,29.6,.195
90,Florida Gulf Coast,14,5,9,.357,-8.57,0.61,,,,,3,1,,1,5,,954,1010,,65.4,109.3,.283,.408,.545,49.0,53.7,11.0,7.1,.520,13.4,30.0,.196
91,Florida International,14,5,9,.357,-6.98,-1.29,,,,,4,3,,1,3,,1076,1059,,74.3,101.8,.398,.399,.568,51.6,55.2,10.5,11.5,.538,21.5,33.5,.276
92,Florida State,11,6,5,.545,8.23,5.32,,0,1,,4,2,,0,2,,839,807,,73.3,98.9,.453,.388,.524,51.2,48.9,8.6,7.5,.485,18.8,32.6,.303
93,Fordham,12,5,7,.417,-2.05,-3.46,,,,,3,4,,0,1,,861,844,,72.6,95.8,.445,.292,.522,49.1,46.2,11.8,9.9,.477,19.6,29.6,.312
94,Fresno State,12,6,6,.500,-2.44,-0.17,,,,,5,2,,0,2,,857,871,,68.0,104.6,.250,.353,.532,49.4,45.0,10.4,8.6,.513,14.6,29.0,.166
95,Furman,12,6,6,.500,0.28,-0.32,,,,,5,0,,1,4,,1027,963,,75.3,104.3,.301,.339,.551,46.5,49.7,10.7,10.2,.527,14.7,23.5,.205
96,Gardner-Webb,14,5,9,.357,-4.99,2.38,,,,,4,1,,0,5,,1026,1007,,71.3,99.1,.387,.364,.517,47.7,46.8,8.0,9.7,.481,14.4,23.6,.264
97,George Mason,12,10,2,.833,6.30,-0.61,,,,,7,0,,2,1,,885,785,,66.5,98.4,.300,.402,.481,45.9,53.0,10.8,10.2,.444,12.5,27.4,.211
98,George Washington,12,10,2,.833,3.11,-5.43,,,,,8,0,,0,1,,982,873,,74.1,95.1,.167,.394,.470,48.4,47.5,9.3,10.6,.447,13.1,28.4,.121
99,Georgetown,13,7,6,.538,-0.02,-1.41,,0,2,,6,3,,1,3,,958,940,,68.6,103.4,.288,.342,.518,48.2,46.7,12.2,9.6,.491,14.3,31.9,.197
100,Georgia,12,9,3,.750,7.86,3.03,,,,,8,0,,1,0,,887,829,,70.5,98.0,.263,.391,.479,51.3,52.7,8.2,10.0,.445,13.4,31.3,.187
101,Georgia Southern,12,0,12,.000,-14.93,-1.35,,,,,0,2,,0,7,,787,950,,69.0,114.7,.402,.402,.576,55.4,58.0,12.2,14.4,.543,15.7,37.3,.288
102,Georgia State,11,5,6,.455,-4.57,0.10,,,,,3,1,,2,5,,868,801,,71.1,101.3,.378,.357,.526,48.2,50.2,7.8,8.8,.485,14.9,26.6,.271
103,Georgia Tech,11,8,3,.727,4.75,3.38,,1,0,,5,1,,1,2,,796,781,,69.9,100.4,.319,.406,.488,45.3,43.3,11.4,9.7,.453,11.5,29.0,.219
104,Gonzaga,12,9,3,.750,14.94,2.12,,,,,6,0,,0,1,,1012,805,,72.1,93.1,.266,.370,.475,42.4,46.3,8.8,7.1,.438,14.4,26.1,.195
105,Grambling,12,2,10,.167,-16.69,5.91,,,,,2,0,,0,8,,764,935,,68.4,113.9,.346,.371,.593,53.1,62.0,11.7,7.3,.568,15.8,31.7,.245
106,Grand Canyon,11,10,1,.909,11.30,-0.97,,2,0,,6,0,,2,0,,877,742,,70.0,96.5,.335,.346,.503,43.7,49.4,9.8,6.1,.464,16.5,27.4,.239
107,Green Bay,13,6,7,.462,-7.18,0.10,,1,1,,4,1,,2,5,,826,857,,63.4,102.9,.362,.354,.509,49.7,53.7,10.8,14.3,.466,12.8,29.3,.262
108,Hampton,12,4,8,.333,-14.30,-2.86,,,,,3,2,,0,4,,965,903,,74.9,100.4,.362,.412,.524,47.1,45.0,10.1,5.6,.478,15.8,27.5,.272
109,Harvard,11,8,3,.727,-0.50,-2.00,,,,,5,0,,3,3,,818,775,,68.4,101.8,.230,.402,.487,51.8,50.5,8.9,10.5,.467,13.0,33.2,.146
110,Hawaii,11,8,3,.727,4.85,-2.48,,,,,6,2,,0,0,,839,732,,68.9,96.6,.309,.275,.505,48.9,34.3,8.4,7.7,.470,15.8,26.0,.218
111,High Point,14,10,4,.714,3.55,-3.37,,,,,7,0,,1,3,,1190,1004,,69.7,102.0,.307,.364,.523,41.2,48.5,7.9,7.3,.489,12.9,22.5,.220
112,Hofstra,12,7,5,.583,5.62,3.07,,,,,3,1,,1,4,,922,841,,67.7,102.4,.265,.406,.519,51.1,53.0,8.8,8.9,.486,15.4,30.4,.196
113,Holy Cross,12,2,10,.167,-19.52,-5.18,,,,,0,3,,1,6,,772,944,,66.1,119.0,.291,.383,.579,53.8,50.6,10.3,13.3,.552,11.5,32.1,.215
114,Houston,12,12,0,1.000,27.38,1.88,,,,,7,0,,1,0,,906,600,,64.9,77.0,.401,.413,.443,44.2,63.6,7.4,7.0,.404,24.3,28.4,.246
115,Houston Christian,11,2,9,.182,-16.70,7.86,,,,,2,2,,0,7,,766,915,,76.7,108.4,.279,.378,.542,49.6,59.8,13.0,11.7,.514,12.4,30.1,.198
116,Howard,13,4,9,.308,-6.00,-0.92,,,,,3,1,,1,6,,1008,1030,,71.9,107.2,.392,.338,.547,48.9,50.5,10.8,9.5,.516,14.8,30.4,.266
117,Idaho,12,6,6,.500,-7.22,-2.12,,,,,4,2,,1,4,,871,832,,67.5,101.7,.369,.384,.535,50.6,55.4,8.8,9.6,.504,16.0,26.7,.249
118,Idaho State,11,4,7,.364,-8.69,-1.25,,,,,3,0,,1,6,,751,728,,65.9,100.4,.287,.295,.528,47.8,47.6,11.9,6.7,.495,16.3,27.0,.209
119,Illinois,11,9,2,.818,19.90,3.90,,1,0,,6,1,,1,1,,891,715,,71.9,90.4,.250,.295,.444,42.8,39.8,9.6,8.4,.416,11.6,25.0,.163
120,Illinois State,12,8,4,.667,-1.95,-3.58,,2,0,,6,1,,1,1,,822,785,,67.9,96.4,.296,.372,.510,47.8,48.6,9.5,8.8,.472,16.8,25.7,.219
