,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
121,Illinois-Chicago,12,7,5,.583,4.03,-2.06,,0,1,,3,3,,2,1,,873,755,,69.1,91.1,.332,.318,.463,48.4,41.5,11.0,9.3,.414,15.4,28.2,.243
122,Incarnate Word,11,4,7,.364,-11.47,-3.97,,,,,2,1,,2,5,,824,858,,73.3,106.5,.362,.375,.538,50.5,52.8,10.8,11.9,.498,13.7,30.1,.266
123,Indiana,12,9,3,.750,5.59,3.51,,2,0,,7,1,,1,0,,892,867,,69.9,103.3,.287,.423,.518,49.3,53.8,9.9,7.5,.484,13.9,29.1,.209
124,Indiana State,12,11,1,.917,15.20,-0.98,,2,0,,5,0,,2,1,,1058,850,,73.2,96.7,.270,.324,.510,48.8,36.9,8.1,11.7,.479,17.0,26.8,.194
125,Iona,12,5,7,.417,-0.57,-0.49,,1,1,,3,2,,1,2,,861,862,,69.1,103.9,.432,.429,.558,51.4,55.4,9.3,12.6,.524,18.9,31.1,.296
126,Iowa,12,7,5,.583,14.01,4.92,,0,2,,5,1,,0,3,,1039,930,,74.8,103.6,.263,.362,.527,49.1,49.7,8.1,8.3,.501,15.4,30.3,.185
127,Iowa State,12,10,2,.833,25.75,-2.42,,,,,8,0,,1,0,,1036,698,,70.7,82.2,.330,.449,.492,44.9,57.0,8.7,6.8,.449,24.7,24.5,.240
128,IUPUI,13,4,9,.308,-21.73,-4.43,,0,2,,3,2,,1,5,,874,1009,,68.9,111.6,.346,.353,.593,52.5,55.3,9.5,7.4,.572,18.1,33.5,.237
129,Jackson State,12,4,8,.333,-8.83,3.17,,,,,0,0,,2,8,,831,975,,71.9,113.0,.414,.453,.582,51.7,61.5,11.7,10.2,.551,16.5,33.6,.290
130,Jacksonville,13,8,5,.615,-11.85,-2.12,,,,,5,0,,2,5,,978,981,,72.6,102.9,.404,.392,.526,47.6,55.7,11.4,8.2,.489,16.0,31.4,.276
131,Jacksonville State,13,6,7,.462,-1.22,-3.47,,,,,2,3,,3,4,,889,812,,66.2,93.4,.346,.326,.498,46.3,42.9,9.6,8.9,.459,17.3,25.9,.241
132,James Madison,12,12,0,1.000,11.59,-3.77,,,,,5,0,,5,0,,1111,871,,75.3,93.6,.337,.331,.502,46.1,42.3,8.1,6.3,.464,18.7,28.4,.238
133,Kansas,12,11,1,.917,16.78,4.05,,,,,7,0,,1,0,,949,782,,70.6,92.3,.227,.415,.471,46.1,46.8,10.0,7.4,.443,14.9,25.8,.158
134,Kansas City,13,5,8,.385,-9.40,0.00,,,,,4,0,,1,5,,923,910,,68.0,101.9,.413,.385,.536,45.7,54.8,9.9,8.8,.492,16.2,27.0,.299
135,Kansas State,12,9,3,.750,9.52,3.10,,,,,6,1,,1,0,,924,847,,69.3,97.7,.240,.383,.504,46.9,48.4,11.2,10.9,.474,16.2,30.9,.174
136,Kennesaw State,13,9,4,.692,-5.71,-5.01,,,,,5,0,,2,4,,1110,992,,77.7,97.3,.399,.357,.502,49.4,47.0,9.2,13.5,.457,17.0,30.4,.282
137,Kent State,11,7,4,.636,5.88,1.32,,,,,4,2,,1,1,,913,809,,72.0,99.9,.365,.437,.536,47.0,54.6,10.7,6.6,.511,18.6,29.6,.236
138,Kentucky,11,9,2,.818,18.07,1.16,,,,,6,1,,1,0,,997,811,,74.5,97.8,.306,.428,.524,48.4,54.9,7.5,6.8,.492,17.3,25.8,.216
139,La Salle,12,9,3,.750,-1.98,-3.62,,,,,7,0,,1,3,,946,862,,67.7,101.8,.282,.327,.516,50.9,52.5,6.1,7.8,.490,14.8,29.9,.190
140,Lafayette,12,1,11,.083,-14.37,-0.01,,,,,1,4,,0,5,,728,870,,68.4,106.0,.323,.384,.546,53.7,51.5,10.8,6.5,.508,15.9,31.1,.243
141,Lamar,12,5,7,.417,-8.62,-7.07,,,,,3,1,,0,6,,981,950,,74.9,104.6,.434,.427,.546,48.2,61.1,10.6,10.3,.504,16.8,30.4,.309
142,Le Moyne,13,5,8,.385,-14.57,-3.77,,,,,4,0,,1,8,,962,953,,71.4,102.6,.212,.445,.543,56.3,59.8,8.4,8.6,.522,19.4,33.9,.150
143,Lehigh,10,2,8,.200,-8.03,2.22,,,,,2,2,,0,6,,749,751,,74.7,100.5,.323,.362,.536,50.1,43.3,9.4,7.1,.502,16.3,25.3,.232
144,Liberty,13,10,3,.769,11.14,-0.13,,,,,5,1,,1,1,,1030,773,,65.4,90.9,.274,.320,.480,45.1,38.9,8.7,9.6,.442,16.1,23.5,.202
145,Lindenwood,13,6,7,.462,-15.73,-3.13,,,,,3,2,,1,5,,878,929,,69.6,102.7,.409,.426,.554,51.1,55.2,9.8,8.2,.519,16.6,25.8,.285
146,Lipscomb,14,8,6,.571,0.29,-1.63,,,,,5,0,,1,5,,1131,1023,,73.7,99.1,.223,.385,.509,50.6,42.3,7.7,9.6,.486,15.5,28.6,.154
147,Little Rock,13,6,7,.462,-5.49,-4.10,,,,,6,3,,0,3,,1025,1043,,72.0,109.3,.434,.366,.557,51.2,45.6,6.2,9.2,.514,15.7,33.3,.315
148,Long Beach State,12,8,4,.667,1.00,0.90,,,,,3,0,,4,2,,971,919,,75.9,99.9,.335,.474,.536,48.8,59.0,10.1,6.9,.510,18.6,29.8,.222
149,Long Island University,11,1,10,.091,-19.22,-1.13,,,,,0,1,,0,9,,685,884,,72.7,110.5,.429,.302,.552,56.4,53.2,11.5,11.3,.517,13.5,32.3,.296
150,Longwood,14,12,2,.857,0.06,-10.30,,,,,8,0,,4,2,,1108,862,,69.8,86.6,.289,.368,.484,40.4,49.4,8.8,5.4,.451,19.7,22.3,.198
151,Louisiana,12,7,5,.583,1.18,0.08,,,,,4,0,,1,4,,941,855,,69.2,103.0,.413,.310,.543,51.1,48.3,9.9,10.9,.505,19.4,35.7,.289
152,Louisiana State,12,7,5,.583,4.22,-0.79,,,,,5,2,,0,1,,902,842,,69.7,99.6,.298,.445,.524,49.6,50.9,10.8,10.0,.487,18.8,33.0,.222
153,Louisiana Tech,13,9,4,.692,7.04,1.32,,,,,7,0,,2,4,,986,826,,68.8,91.5,.326,.354,.478,45.9,46.9,9.1,10.0,.439,16.3,26.1,.226
154,Louisiana-Monroe,10,4,6,.400,-13.27,-1.15,,,,,3,1,,1,5,,712,733,,70.3,104.3,.426,.468,.537,47.4,63.6,11.0,8.4,.488,16.8,31.5,.315
155,Louisville,12,5,7,.417,-2.20,-1.36,,0,1,,5,3,,0,2,,895,905,,71.4,104.6,.327,.353,.543,48.0,52.0,9.1,9.9,.507,15.2,28.1,.240
156,Loyola (IL),12,7,5,.583,2.13,1.32,,,,,6,1,,0,2,,892,832,,70.1,98.9,.369,.376,.520,47.5,52.2,9.5,10.1,.477,15.0,23.4,.267
157,Loyola (MD),12,2,10,.167,-12.71,-3.43,,,,,1,3,,1,6,,807,875,,68.0,105.0,.331,.355,.533,49.8,50.8,11.6,11.6,.504,14.4,28.5,.226
158,Loyola Marymount,13,7,6,.538,3.25,-0.33,,,,,5,2,,1,1,,979,895,,69.6,98.9,.322,.287,.506,46.9,46.7,9.8,10.4,.463,13.8,25.7,.240
159,Maine,14,8,6,.571,-5.88,-6.19,,,,,3,1,,3,5,,970,914,,67.8,96.3,.335,.330,.510,52.4,51.8,8.3,8.6,.481,17.8,28.9,.221
160,Manhattan,10,4,6,.400,-13.62,-0.51,,1,1,,2,1,,2,5,,662,768,,71.5,106.1,.219,.350,.539,54.1,56.7,10.9,12.6,.514,14.8,30.9,.163
161,Marist,10,7,3,.700,-2.76,-9.56,,2,0,,3,0,,4,3,,672,604,,66.1,91.4,.382,.397,.491,49.5,42.6,10.3,6.2,.447,18.5,25.6,.265
162,Marquette,13,10,3,.769,19.17,7.01,,1,1,,7,0,,1,2,,1020,862,,70.4,94.2,.282,.430,.510,51.3,54.2,8.6,8.8,.481,19.8,29.8,.196
163,Marshall,13,5,8,.385,-3.01,1.91,,,,,3,3,,1,2,,995,1021,,75.0,104.7,.280,.373,.531,49.2,51.9,10.5,7.3,.503,14.7,29.3,.197
164,Maryland,12,8,4,.667,7.15,-1.60,,1,1,,7,0,,1,2,,876,771,,67.9,93.7,.340,.262,.493,49.0,45.1,8.9,10.1,.449,18.3,32.2,.247
165,Maryland-Baltimore County,14,5,9,.357,-13.54,-6.46,,,,,4,2,,1,7,,1100,1173,,76.6,109.4,.326,.312,.543,51.9,41.9,11.8,5.8,.507,13.4,31.6,.238
166,Maryland-Eastern Shore,10,2,8,.200,-17.73,2.71,,,,,2,1,,0,7,,625,791,,68.6,114.0,.347,.384,.577,54.6,53.0,10.7,6.8,.548,14.8,32.9,.248
167,Massachusetts,10,7,3,.700,9.17,-1.73,,,,,5,1,,0,1,,843,734,,72.8,99.6,.413,.384,.524,48.1,53.3,7.1,9.0,.474,18.0,32.2,.305
168,Massachusetts-Lowell,12,8,4,.667,-1.66,-6.26,,,,,3,1,,5,3,,934,795,,72.3,91.7,.256,.352,.468,44.2,45.8,12.2,7.4,.435,14.5,26.8,.179
169,McNeese State,12,10,2,.833,7.39,-0.61,,,,,7,0,,2,2,,963,693,,66.9,86.3,.231,.482,.465,45.7,58.4,6.4,9.1,.435,19.8,28.4,.162
170,Memphis,12,10,2,.833,13.68,7.27,,,,,5,0,,3,1,,950,873,,72.3,99.7,.283,.418,.511,51.2,50.5,9.5,11.2,.476,17.1,33.4,.207
171,Mercer,12,6,6,.500,-6.39,-2.09,,,,,4,2,,1,3,,836,863,,67.4,106.8,.433,.357,.564,49.9,46.1,10.4,6.8,.524,16.6,28.1,.312
172,Merrimack,13,6,7,.462,-1.74,1.63,,,,,4,0,,1,6,,902,914,,69.5,100.2,.328,.316,.515,54.8,57.5,10.3,9.4,.478,18.7,37.1,.234
173,Miami (FL),11,9,2,.818,11.96,-0.67,,1,0,,7,0,,0,1,,921,782,,72.0,98.7,.187,.426,.504,47.0,55.8,10.1,7.8,.482,15.6,29.2,.132
174,Miami (OH),11,5,6,.455,-5.16,-0.16,,,,,4,1,,1,5,,779,790,,68.9,104.2,.329,.324,.535,53.8,44.6,9.5,11.4,.502,16.1,31.6,.235
175,Michigan,12,6,6,.500,11.94,6.61,,1,1,,3,2,,2,1,,1005,941,,70.7,107.5,.277,.324,.532,47.5,42.7,9.8,10.9,.504,13.7,31.6,.197
176,Michigan State,12,7,5,.583,19.66,6.91,,0,2,,6,2,,0,1,,917,764,,67.9,92.7,.295,.415,.479,48.7,54.7,9.3,6.4,.441,16.5,29.5,.212
177,Middle Tennessee,13,5,8,.385,-6.57,-0.07,,,,,4,4,,0,2,,824,876,,64.8,101.2,.259,.309,.521,49.8,43.2,9.4,10.1,.498,15.1,29.7,.175
178,Milwaukee,12,5,7,.417,-11.05,-2.65,,0,1,,3,2,,1,4,,898,935,,69.2,111.6,.339,.385,.564,50.4,57.8,9.7,14.0,.534,15.1,34.0,.241
179,Minnesota,12,9,3,.750,9.44,-4.40,,1,1,,9,1,,0,1,,966,800,,69.3,96.3,.256,.293,.495,44.7,48.3,11.6,8.0,.463,15.2,27.6,.185
180,Mississippi,12,12,0,1.000,7.30,-1.71,,,,,8,0,,2,0,,911,803,,68.5,97.7,.277,.384,.494,51.2,51.2,10.1,7.1,.456,16.9,34.0,.206
181,Mississippi State,12,10,2,.833,14.59,1.84,,,,,4,1,,0,1,,906,753,,69.4,90.4,.329,.388,.477,43.7,45.8,10.7,6.9,.435,16.3,24.1,.233
182,Mississippi Valley State,12,0,12,.000,-27.81,7.69,,,,,0,0,,0,12,,585,1011,,65.8,126.7,.402,.425,.618,57.3,62.5,13.8,7.9,.594,13.3,39.5,.284
183,Missouri,12,7,5,.583,5.27,2.35,,,,,5,2,,2,1,,903,868,,69.4,104.2,.362,.381,.534,53.6,51.8,8.8,9.2,.492,17.2,34.6,.268
184,Missouri State,13,9,4,.692,4.76,-1.55,,1,1,,5,0,,1,4,,957,875,,70.0,95.2,.247,.348,.469,45.0,44.4,9.7,8.9,.434,11.5,24.0,.181
185,Monmouth,12,7,5,.583,-2.45,-1.36,,,,,4,1,,1,4,,872,885,,69.4,106.2,.345,.440,.545,51.5,55.8,10.0,10.4,.516,16.4,32.7,.235
186,Montana,11,7,4,.636,2.74,4.74,,,,,5,1,,2,3,,838,761,,69.1,100.1,.352,.363,.512,47.5,46.4,8.6,7.4,.473,13.1,24.4,.248
187,Montana State,11,5,6,.455,-4.69,0.44,,,,,4,3,,1,3,,813,797,,70.0,101.1,.346,.312,.531,54.8,45.9,8.8,7.2,.501,17.5,30.4,.234
188,Morehead State,13,9,4,.692,-0.59,3.63,,,,,6,0,,3,4,,1014,824,,68.1,93.1,.302,.393,.465,41.7,44.4,9.4,7.2,.422,13.2,25.8,.221
189,Morgan State,14,4,10,.286,-15.12,3.61,,,,,4,2,,0,6,,1044,1114,,73.1,108.8,.347,.339,.540,50.8,47.0,11.2,7.7,.510,14.1,33.1,.237
190,Mount St. Mary's,12,5,7,.417,-4.95,-8.20,,1,1,,3,1,,2,6,,887,848,,69.5,98.6,.388,.335,.533,47.9,52.4,13.0,7.5,.484,18.9,29.0,.293
191,Murray State,12,3,9,.250,-6.13,-0.40,,1,1,,3,3,,0,4,,855,885,,66.6,109.5,.271,.365,.568,51.0,48.0,7.4,10.4,.543,15.1,27.5,.196
192,Navy,10,3,7,.300,-7.24,-5.46,,,,,3,1,,0,6,,673,631,,67.9,91.7,.404,.452,.502,48.9,51.4,8.0,13.5,.459,19.7,27.4,.279
193,NC State,12,9,3,.750,9.45,-0.22,,1,0,,7,0,,1,1,,958,842,,70.2,98.9,.353,.363,.524,50.5,49.7,7.2,7.6,.490,17.9,29.5,.244
194,Nebraska,12,10,2,.833,11.30,0.55,,1,1,,8,1,,1,1,,918,789,,68.2,96.3,.241,.411,.472,46.7,43.9,9.4,12.1,.439,13.7,29.5,.175
195,Nevada,12,11,1,.917,14.73,0.32,,,,,7,0,,2,0,,951,778,,70.0,92.6,.309,.431,.483,47.7,53.8,6.9,7.2,.453,15.7,25.3,.201
196,Nevada-Las Vegas,10,5,5,.500,7.22,5.12,,,,,4,2,,1,0,,731,710,,65.7,105.5,.246,.343,.532,53.4,56.9,7.0,9.9,.506,15.9,34.0,.176
197,New Hampshire,12,8,4,.667,-3.05,-3.69,,,,,5,0,,3,4,,947,863,,75.0,95.9,.303,.376,.492,50.5,48.4,9.7,13.3,.451,14.3,25.7,.225
198,New Mexico,12,11,1,.917,16.80,0.72,,,,,6,0,,1,1,,1012,819,,74.6,91.5,.373,.360,.506,46.2,53.1,7.8,8.9,.460,19.6,25.4,.272
199,New Mexico State,14,5,9,.357,-8.21,6.20,,,,,5,1,,0,6,,997,1031,,70.9,102.1,.463,.424,.528,49.8,60.9,11.2,6.4,.486,15.9,27.9,.316
200,New Orleans,12,5,7,.417,-12.16,2.97,,,,,4,0,,1,6,,916,916,,75.3,100.3,.333,.371,.524,52.6,57.1,8.1,8.6,.498,18.1,32.9,.219
201,Niagara,11,3,8,.273,-12.40,-4.20,,0,2,,2,4,,1,4,,806,839,,68.5,110.1,.293,.287,.561,52.0,41.1,7.3,8.5,.535,12.8,28.2,.209
202,Nicholls State,12,4,8,.333,-5.32,4.48,,,,,2,0,,2,6,,865,919,,69.1,107.5,.370,.404,.516,54.0,50.8,10.1,13.8,.481,13.1,34.9,.252
203,NJIT,11,3,8,.273,-18.00,-4.40,,,,,2,2,,1,6,,796,856,,69.8,111.5,.411,.343,.555,52.6,53.2,10.0,10.3,.526,14.8,35.5,.274
204,Norfolk State,15,9,6,.600,-2.47,-2.31,,,,,5,0,,2,4,,1136,1001,,68.3,97.7,.459,.496,.530,48.8,58.8,7.9,8.6,.490,20.2,30.5,.311
205,North Alabama,13,6,7,.462,-6.73,-3.82,,,,,5,1,,1,6,,1012,967,,70.5,102.4,.388,.356,.531,49.8,53.3,8.6,7.8,.490,15.5,27.9,.277
206,North Carolina,11,8,3,.727,18.95,8.86,,1,0,,5,0,,0,0,,930,819,,72.9,101.0,.276,.395,.523,48.3,43.7,7.6,9.3,.491,15.4,27.8,.202
207,North Carolina A&T,12,2,10,.167,-15.78,-0.53,,,,,0,2,,1,5,,832,1015,,70.7,119.6,.309,.337,.599,58.6,55.0,8.8,11.5,.581,14.4,36.6,.212
208,North Carolina Central,14,7,7,.500,-7.70,-0.61,,,,,4,1,,3,5,,1056,966,,70.2,97.4,.350,.388,.514,51.9,56.1,9.0,11.4,.473,18.6,33.2,.253
209,North Dakota,13,8,5,.615,-9.28,-5.58,,,,,4,1,,2,4,,978,903,,69.0,99.7,.279,.339,.510,47.4,45.2,8.7,5.9,.476,14.4,27.1,.203
210,North Dakota State,13,7,6,.538,-4.55,2.05,,,,,5,0,,2,5,,998,914,,67.7,101.9,.257,.293,.518,46.9,45.0,6.9,9.9,.496,13.4,25.2,.172
211,North Florida,14,7,7,.500,-10.15,-4.15,,,,,6,2,,1,5,,1097,1033,,71.7,102.9,.341,.291,.538,49.7,46.9,10.1,15.3,.500,15.0,26.3,.251
212,North Texas,11,6,5,.545,7.65,0.55,,,,,5,0,,0,1,,750,650,,62.6,93.4,.344,.351,.480,47.4,47.8,10.5,9.3,.440,17.4,31.5,.237
213,Northeastern,12,5,7,.417,-1.75,-0.75,,,,,2,1,,2,5,,875,887,,66.1,111.9,.233,.382,.570,47.1,48.5,9.1,10.9,.546,13.8,28.9,.174
214,Northern Arizona,12,6,6,.500,-8.85,0.40,,,,,2,0,,3,5,,793,904,,71.1,106.0,.393,.374,.559,55.2,43.2,11.0,7.7,.517,17.1,30.8,.292
215,Northern Colorado,11,5,6,.455,-5.82,-0.04,,,,,3,1,,1,4,,846,848,,71.8,103.9,.287,.413,.553,50.7,49.8,11.0,10.1,.522,16.4,25.8,.212
216,Northern Illinois,11,6,5,.545,-1.12,4.33,,,,,3,2,,2,3,,885,838,,73.2,104.1,.293,.334,.510,49.9,53.5,8.6,3.6,.478,13.6,32.4,.207
217,Northern Iowa,13,6,7,.462,3.88,2.88,,0,2,,4,1,,1,4,,1011,959,,68.8,105.2,.350,.389,.555,48.5,42.5,9.1,9.8,.511,15.0,23.0,.271
218,Northern Kentucky,13,7,6,.538,-4.97,-2.97,,2,0,,5,1,,2,5,,953,923,,69.9,101.5,.263,.370,.540,51.8,56.9,9.2,7.7,.511,19.2,32.4,.192
219,Northwestern,11,9,2,.818,10.80,1.07,,1,0,,6,1,,1,0,,801,694,,64.6,96.5,.373,.417,.524,51.2,57.9,7.4,8.8,.480,19.3,29.2,.272
220,Northwestern State,12,2,10,.167,-20.92,-1.42,,,,,2,2,,0,6,,844,968,,70.5,114.4,.347,.382,.575,55.4,50.4,8.4,12.1,.547,16.1,38.9,.245
221,Notre Dame,12,5,7,.417,-2.11,1.89,,0,1,,4,3,,0,3,,751,799,,65.2,100.1,.271,.362,.521,48.9,49.3,10.3,9.4,.488,15.1,26.0,.200
222,Oakland,13,6,7,.462,3.71,5.71,,1,1,,1,2,,3,4,,930,956,,67.7,108.5,.293,.424,.562,50.5,64.4,7.9,8.0,.529,14.9,28.6,.221
223,Ohio,11,6,5,.545,-0.93,-4.03,,,,,4,2,,0,2,,883,772,,69.9,98.2,.365,.385,.517,49.2,39.7,7.0,8.8,.478,18.4,30.7,.258
224,Ohio State,12,10,2,.833,18.10,2.77,,1,1,,7,1,,0,1,,953,769,,67.5,94.9,.294,.348,.489,44.8,39.0,8.3,6.5,.464,15.9,28.3,.186
225,Oklahoma,11,10,1,.909,18.43,-1.48,,,,,7,0,,0,0,,913,694,,71.3,88.5,.300,.357,.474,43.0,40.2,9.7,11.0,.429,17.6,25.0,.225
226,Oklahoma State,11,6,5,.545,7.77,-0.14,,,,,5,2,,0,1,,822,735,,69.2,95.5,.303,.331,.518,46.4,40.8,10.8,7.5,.482,17.0,22.6,.221
227,Old Dominion,11,4,7,.364,-4.26,2.54,,,,,3,2,,0,4,,790,844,,69.3,109.5,.430,.456,.562,51.7,54.5,8.2,9.8,.523,15.3,30.4,.308
228,Omaha,13,6,7,.462,-10.51,-2.84,,,,,5,0,,0,6,,939,904,,68.9,100.9,.308,.422,.542,49.6,48.6,9.5,8.3,.502,16.6,24.7,.239
229,Oral Roberts,11,5,6,.455,-1.59,5.03,,,,,5,0,,0,6,,819,796,,68.1,105.0,.240,.384,.510,55.2,51.6,6.5,8.3,.479,14.7,35.3,.177
230,Oregon,11,8,3,.727,12.19,4.10,,,,,6,0,,1,0,,869,780,,70.8,99.1,.362,.348,.531,48.2,44.1,7.0,7.8,.494,17.3,25.8,.257
231,Oregon State,11,8,3,.727,0.09,0.99,,,,,8,0,,0,0,,787,760,,66.8,97.8,.346,.404,.500,49.0,54.6,10.4,8.5,.463,16.2,30.4,.237
232,Pacific,14,5,9,.357,-19.53,-6.45,,,,,4,4,,1,5,,893,1041,,70.5,104.5,.360,.374,.562,55.6,49.1,10.2,10.3,.529,16.3,27.4,.258
233,Penn State,12,6,6,.500,6.55,1.05,,1,1,,6,1,,0,1,,917,851,,70.3,98.8,.323,.340,.523,53.9,52.6,7.5,8.6,.482,19.4,34.9,.243
234,Pennsylvania,13,8,5,.615,0.30,-1.70,,,,,7,1,,1,2,,1052,931,,67.4,102.3,.241,.384,.526,45.5,52.0,9.5,9.6,.504,14.4,26.4,.165
235,Pepperdine,14,6,8,.429,-1.44,0.02,,,,,6,2,,0,3,,999,1006,,69.1,104.0,.382,.285,.567,48.0,47.9,9.9,5.1,.533,16.7,23.7,.274
236,Pittsburgh,12,9,3,.750,16.53,-1.14,,0,1,,7,2,,1,0,,973,761,,69.7,91.0,.277,.412,.482,43.3,51.1,7.5,9.7,.443,15.3,21.0,.205
237,Portland,14,6,8,.429,-7.21,0.63,,,,,5,2,,1,4,,1058,1112,,72.0,110.3,.267,.439,.556,49.8,57.9,9.1,6.1,.532,13.4,28.8,.189
238,Portland State,12,9,3,.750,-0.12,-1.90,,,,,4,0,,4,2,,886,803,,68.8,96.3,.272,.339,.506,49.1,49.8,7.4,10.6,.487,16.7,27.0,.170
239,Prairie View,11,5,6,.455,-9.73,3.27,,,,,2,0,,2,6,,783,846,,75.5,101.9,.504,.340,.559,53.5,47.8,9.4,10.6,.511,20.1,31.5,.363
240,Presbyterian,14,7,7,.500,-10.92,-7.42,,,,,3,3,,3,3,,1084,1017,,71.2,101.2,.396,.382,.540,49.5,45.3,8.2,9.3,.490,16.6,25.2,.303
